mass0,mass0_5,mass1_0,mass1_5,mass2,time_minutes
0.716093719,0.681158662,1.369102597,1.862624407,2.338204861,13.518
0.71445471,0.684270978,1.363128066,1.857871413,2.334323406,13.5195
0.71444279,0.682670414,1.362908363,1.849313855,2.329570293,13.521
0.711215079,0.678053558,1.367946386,1.848403931,2.328051567,13.5225
0.70927316,0.678548634,1.373720527,1.852770925,2.323815584,13.524
0.708931804,0.678613603,1.378797054,1.857137918,2.328117371,13.5255
0.709960401,0.674292326,1.382459044,1.862757564,2.333200932,13.527
0.714699984,0.66892314,1.386999726,1.861188531,2.331038237,13.5285
0.71482259,0.663592458,1.391204834,1.857946754,2.33127737,13.53
0.716867924,0.662241697,1.390888691,1.855938315,2.333131075,13.5315
0.715800881,0.660004199,1.387064934,1.860918403,2.335320473,13.533
0.712013125,0.658338666,1.385507941,1.865659356,2.332614422,13.5345
0.710719943,0.652827621,1.378596663,1.866615295,2.330263376,13.536
0.713214695,0.651618719,1.381425858,1.867112637,2.327299118,13.5375
0.714661479,0.652892649,1.388633966,1.867112637,2.324399948,13.539
0.717908442,0.656519353,1.397295237,1.873125911,2.318594456,13.5405
0.722448468,0.661792397,1.407190204,1.879636288,2.315572262,13.542
0.729014575,0.663277626,1.413681269,1.875870466,2.318756342,13.5435
0.736171901,0.661439121,1.414101481,1.880249381,2.324658155,13.545
0.742216408,0.658860266,1.416672349,1.884150267,2.329468966,13.5465
0.743463755,0.660975158,1.410161853,1.886559367,2.326581955,13.548
0.742968678,0.661850035,1.402495027,1.889007211,2.324284077,13.5495
0.739971578,0.663039684,1.400305629,1.891751885,2.320189953,13.551
0.744749546,0.665534377,1.397082925,1.891628623,2.317981243,13.5525
0.747508645,0.669180274,1.388105392,1.894153595,2.316663265,13.554
0.748698354,0.671893716,1.375820756,1.902653098,2.3216362,13.5555
0.740589261,0.671655774,1.375161767,1.90585649,2.326970816,13.557
0.72680819,0.669199526,1.377570868,1.909757495,2.32567215,13.5585
0.716795623,0.666820168,1.387866497,1.909815192,2.31951642,13.56
0.71047473,0.662460446,1.395675778,1.909692168,2.316344261,13.5615
0.716069937,0.664049149,1.401592374,1.907217741,2.318611145,13.563
0.719324172,0.664647579,1.403045654,1.898090482,2.31923151,13.5645
0.70747304,0.666428447,1.397051692,1.892547846,2.318857431,13.566
0.703235984,0.667514741,1.390838146,1.885952711,2.322241783,13.5675
0.699191034,0.662575722,1.385780931,1.87979722,2.325225353,13.569
0.691699684,0.667135,1.385302901,1.874616861,2.3261621,13.5705
0.683340788,0.670324206,1.389203906,1.874196649,2.325252056,13.572
0.676801205,0.667771935,1.386555791,1.874809861,2.317334175,13.5735
0.676048934,0.667514741,1.391813397,1.872335434,2.313652992,13.575
0.678531706,0.670343459,1.398447037,1.870519996,2.312296152,13.5765
0.679786325,0.671134174,1.39934504,1.87085557,2.315214872,13.578
0.679509997,0.668009877,1.400817633,1.865358949,2.30978322,13.5795
0.668983102,0.669322133,1.40944016,1.862348676,2.313549042,13.581
0.662179053,0.673424721,1.411113143,1.862425923,2.314131021,13.5825
0.669232965,0.676948071,1.406036496,1.860352278,2.316462755,13.584
0.672686696,0.678825021,1.40502274,1.861165762,2.314234972,13.5855
